tipo_incidencia,comentario
"Accidente en el camino","Un gallo escapó del corral y está cantando en el vecindario. Precaución al cruzarse con él."
"Incendio","El incendio en el monte ha crecido significativamente. Se necesita intervención urgente de bomberos."
"Accidente en el camino","Un vehículo quedó atascado al intentar tomar un camino inadecuado, causando obstrucción en la vía."
"Tramo colapsado/cerrado/mal señalizado","Un deslizamiento de tierra ha bloqueado la carretera. Se recomienda buscar rutas alternativas."
"Problemas mobiliario","El banco del parque está en muy mal estado y necesita reparación urgente."
"Tramo colapsado/cerrado/mal señalizado","Un derrumbe ha bloqueado la carretera, impidiendo el paso. No hay rutas alternativas disponibles."
"Problemas mobiliario","La fuente principal del parque lleva semanas sin agua y requiere mantenimiento."
"Tramo colapsado/cerrado/mal señalizado","La señalización de las rutas es confusa. Usuarios reportan dificultades para encontrar su destino."
"Crecida de río","El nivel del río ha subido considerablemente, afectando la zona. Precaución en las áreas cercanas."
"Incendio","Un incendio causado por una fogata fuera de control requiere atención urgente de los bomberos."
"Incendio","Un incendio en el campo está generando mucho humo. Es necesario controlarlo de inmediato."
"Incendio","El incendio en el bosque está aumentando y se necesita apoyo adicional de los bomberos."
"Accidente en el camino","Caballos sueltos han salido de su establo y están obstruyendo el tráfico en la carretera."
"Accidente en el camino","Un grupo de caballos está bloqueando la calle. Los vehículos deben buscar rutas alternativas."
"Accidente en el camino","Un camión volcó y la carga de sandías está bloqueando la carretera. Se necesita despejar la vía."
"Tramo colapsado/cerrado/mal señalizado","Unos árboles cayeron y bloquean la carretera. El paso está completamente restringido."
"Problemas mobiliario","Un banco del parque está severamente dañado y parece inutilizable. Se requiere su reparación."
"Accidente en el camino","Un coche está bloqueando la vía tras un incidente en una curva. Precaución al acercarse."
"Tramo colapsado/cerrado/mal señalizado","La carretera está obstruida por un derrumbe de piedras. Se requiere maquinaria para despejar la zona."
"Tramo colapsado/cerrado/mal señalizado","Un deslizamiento de tierra ha bloqueado la carretera. Se recomienda tomar rutas alternativas."
"Tramo colapsado/cerrado/mal señalizado","Un desprendimiento de tierra ha caído sobre la carretera, causando interrupciones en el tráfico. Se requiere limpieza urgente."
"Tramo colapsado/cerrado/mal señalizado","Un deslizamiento de tierra ha afectado la vía, lo que está generando problemas para los conductores. Se necesita atención inmediata."
"Accidente en el camino","Un pato ha ingresado a la plaza y está bloqueando el paso. Se debe mantener precaución al acercarse."
"Accidente en el camino","Un vehículo se detuvo en el paso de peatones, obstruyendo el paso de los peatones. Se debe retirar de inmediato."
"Accidente en el camino","Un coche se detuvo en medio de la rotonda, bloqueando el tráfico. Se requiere que se mueva para despejar el camino."
"Accidente en el camino","Un taxi se quedó sin gasolina en medio de la autopista, lo que está provocando un atasco. Se necesita asistencia de grúa."
